time_s,x_m,y_m,cross_track_m,route_progress_m,confidence,mode
1783258776.4788554,60.725417581009935,2.1450835162019875,2.1953515493876927,60.93782270740016,0.5,track
1783258776.5788615,60.83226538110077,2.1664530762201544,2.2171597983793903,61.046786510929685,0.5,track
1783258776.6788802,60.93807097675614,2.187614195351228,2.2387553268595104,61.15468747030849,0.5,track
1783258776.7789767,61.04575019161335,2.2091500383226697,2.2607332704846024,61.264499153861536,0.5,track
1783258776.8789485,61.15148729647057,2.230297459294114,2.2823148184905437,61.3723302660571,0.5,track
1783258776.9788568,61.25934239846833,2.251868479693665,2.3043286607052993,61.48232132000251,0.5,track
1783258777.0789013,61.365957486524344,2.2731914973048686,2.3260894094083957,61.59104780289073,0.5,track
1783258777.1788628,61.47290350982459,2.294580701964917,2.3479177038436476,61.70011177483254,0.5,track
1783258777.278832,61.58027895696055,2.3160557913921096,2.369833646312023,61.809613674877944,0.5,track
1783258777.3779871,61.68565606554425,2.3371312131088504,2.3913417180131393,61.91707766146881,0.5,track
1783258777.4788382,61.7920206322744,2.3584041264548805,2.4130513357233605,62.02554866173118,0.5,track
1783258777.5788977,61.89967988442035,2.3799359768840698,2.4350252062731,62.13533998723338,0.5,track
1783258777.678585,62.00645399574894,2.401290799149789,2.456818415969196,62.24422864267559,0.5,track
1783258777.778836,62.113267957488645,2.4226535914977294,2.4786197869283786,62.353157937722564,0.5,track
1783258777.8788571,62.22000335772308,2.4440006715446163,2.5004051106993894,62.46200711543987,0.5,track
1783258777.9789262,62.326916805562725,2.4653833611125444,2.522226765450646,62.571037866799834,0.5,track
1783258778.0788517,62.43393059860006,2.4867861197200116,2.544068894424909,62.68017095058402,0.5,track
1783258778.1788352,62.540313886091496,2.508062777218299,2.5657823288079284,62.78866104235182,0.5,track
1783258778.278891,62.64696651311933,2.529393302623866,2.5875507323860467,62.89742580762999,0.5,track
1783258778.3781953,62.75376831321931,2.5507536626438627,2.609349579082946,63.00634270018932,0.5,track
1783258778.4789202,62.86052757746895,2.57210551549379,2.6311397409161725,63.11521621452246,0.5,track
1783258778.5788567,62.96725067837954,2.5934501356759094,2.652922518650636,63.22405284934132,0.5,track
1783258778.678915,63.07415144160612,2.6148302883212233,2.674741555159662,63.333070664883365,0.5,track
1783258778.7781553,63.18152591118921,2.636305182237842,2.696657274264295,63.44257156801654,0.5,track
1783258778.8788793,63.28762248289996,2.657524496579993,2.7183121679249798,63.55076926591223,0.5,track
1783258778.9780586,63.393382270142425,2.678676454028484,2.7398983210149774,63.65862350969277,0.5,track
1783258779.0788841,63.500153653425635,2.7000307306851266,2.761690942192263,63.76750938306365,0.5,track
1783258779.1788766,63.60777395852051,2.721554791704102,2.783656829088599,63.87726099021116,0.5,track
1783258779.278885,63.71352199333922,2.742704398667844,2.8052405801200293,63.9851032488241,0.5,track
1783258779.3788242,63.821256551604435,2.764251310320888,2.8272297844414975,64.09497137180063,0.5,track
1783258779.4789033,63.928057871820414,2.7856115743640824,2.849028513398708,64.20388777497237,0.5,track
1783258779.5788357,64.03484566382005,2.806969132764009,2.8708244820840854,64.3127903820163,0.5,track
1783258779.6789894,64.14159221855957,2.828318443711913,2.8926120337854218,64.42165093514141,0.5,track
1783258779.7788777,64.24832704416075,2.8496654088321485,2.9143971921462066,64.53049952684549,0.5,track
1783258779.878915,64.35516892415734,2.871033784831467,2.9362042353522324,64.6394572930398,0.5,track
1783258779.9788446,64.4610197866726,2.8922039573345186,2.9578090205509686,64.74740441573898,0.5,track
1783258780.0788531,64.56884350257296,2.9137687005145914,2.979816442491948,64.85736346201979,0.5,track
1783258780.1789596,64.6745420250402,2.9349084050080396,3.001390095001803,64.96515522774347,0.5,track
1783258780.2788513,64.78214283206069,2.956428566412137,3.0233519933140993,65.07488695067863,0.5,track
1783258780.3789167,64.88882167463248,2.9777643349264964,3.045125709104146,65.18367845067084,0.5,track
1783258780.4788814,64.99556108395856,2.999112216791713,3.0669117801115116,65.29253171687546,0.5,track
1783258780.5788817,65.1023954185252,3.020479083705042,3.0887172189277705,65.40148178821086,0.5,track
1783258780.6788926,65.20905587126272,3.041811174252545,3.1104871624936914,65.51025453417832,0.5,track
1783258780.7789204,65.3148378658704,3.06296757317408,3.1320778084339986,65.61813142511657,0.5,track
1783258780.8788574,65.42153211122962,3.084306422245924,3.1538546371563965,65.72693863293152,0.5,track
1783258780.9789941,65.52850554396665,3.105701108793328,3.1756884418525457,65.83603055712393,0.5,track
1783258781.0788932,65.63607989371165,3.1272159787423304,3.1976448867121814,65.9457352988263,0.5,track
