route_progress_m,burial_depth_m,burial_sigma_m,accuracy_target_m,accuracy_pass
60.828924062177315,1.5,,0.15,False
60.93782270740016,1.5,,0.15,False
61.046786510929685,1.5,,0.15,False
61.15468747030849,1.5,,0.15,False
61.264499153861536,1.5,,0.15,False
61.3723302660571,1.5,,0.15,False
61.48232132000251,1.5,,0.15,False
61.59104780289073,1.5,,0.15,False
61.70011177483254,1.5,,0.15,False
61.809613674877944,1.5,,0.15,False
61.91707766146881,1.5,,0.15,False
62.02554866173118,1.5,,0.15,False
62.13533998723338,1.5,,0.15,False
62.24422864267559,1.5,,0.15,False
62.353157937722564,1.5,,0.15,False
62.46200711543987,1.5,,0.15,False
62.571037866799834,1.5,,0.15,False
62.68017095058402,1.5,,0.15,False
62.78866104235182,1.5,,0.15,False
62.89742580762999,1.5,,0.15,False
63.00634270018932,1.5,,0.15,False
63.11521621452246,1.5,,0.15,False
63.22405284934132,1.5,,0.15,False
63.333070664883365,1.5,,0.15,False
63.44257156801654,1.5,,0.15,False
63.55076926591223,1.5,,0.15,False
63.65862350969277,1.5,,0.15,False
63.76750938306365,1.5,,0.15,False
63.87726099021116,1.5,,0.15,False
63.9851032488241,1.5,,0.15,False
64.09497137180063,1.5,,0.15,False
64.20388777497237,1.5,,0.15,False
64.3127903820163,1.5,,0.15,False
64.42165093514141,1.5,,0.15,False
64.53049952684549,1.5,,0.15,False
64.6394572930398,1.5,,0.15,False
64.74740441573898,1.5,,0.15,False
64.85736346201979,1.5,,0.15,False
64.96515522774347,1.5,,0.15,False
65.07488695067863,1.5,,0.15,False
65.18367845067084,1.5,,0.15,False
65.29253171687546,1.5,,0.15,False
65.40148178821086,1.5,,0.15,False
