run_id,scenario,seed,mpc_mode,status,valid_run,invalid_reason,effective_sample_count,failure_event_count,capability_gate_status,solver_wall_time_current_ms,fallback_type,arm,arm_label,rmse_xy_m,rmse_z_m,rmse_3d_m,depth_equiv_error_m,depth_equiv_bias_m,current_speed_mps,target_loss_ratio,reacquire_success_ratio,mag_nis_mean,mag_nis_p95,mag_updates,sonar_input
em_noise__seed2,em_noise,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),32.3447495,0.0332202965,32.3447666,0.61225699,-0.0383703733,0,0,nan,7.42989582,27.4800669,240,confidence_only
em_noise__seed0,em_noise,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),9.84513722,0.0330673566,9.84519275,0.642270667,0.0325879262,0,0,nan,3.69670052,18.0565636,240,confidence_only
em_noise__seed1,em_noise,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),23.3097208,0.0219971571,23.3097312,0.585233179,-0.0965071381,0,0,nan,2.74083909,15.0129928,240,confidence_only
em_noise__seed2,em_noise,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),31.5326222,0.025476736,31.5326325,0.61225699,-0.0383703733,0,0,nan,2.72712768,10.3888386,240,confidence_only
current__seed0,current,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,26.7959071,0.0120538515,26.7959098,nan,nan,0.3,1,0,nan,nan,0,disabled
current__seed1,current,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,16.624905,0.00956035839,16.6249078,nan,nan,0.3,1,0,nan,nan,0,disabled
current__seed2,current,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,23.5470318,0.00871317712,23.5470335,nan,nan,0.3,1,0,nan,nan,0,disabled
current__seed0,current,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,26.3141858,0.0351836082,26.3142094,0.278575039,0.229494884,0.3,0,nan,1.5901615,4.81678681,240,disabled
current__seed1,current,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,13.1441877,0.0314840232,13.1442254,0.260778528,0.217129563,0.3,0,nan,1.42555213,4.55193797,240,disabled
current__seed2,current,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,25.7112388,0.0307241052,25.7112572,0.268854823,0.228702062,0.3,0,nan,1.50219107,4.24994103,240,disabled
current__seed0,current,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,26.7959071,0.0120538515,26.7959098,nan,nan,0.3,0,nan,nan,nan,0,confidence_only
current__seed1,current,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,16.624905,0.00956035839,16.6249078,nan,nan,0.3,0,nan,nan,nan,0,confidence_only
current__seed2,current,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,23.5470318,0.00871317712,23.5470335,nan,nan,0.3,0,nan,nan,nan,0,confidence_only
current__seed0,current,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,26.2519954,0.0304070024,26.2520131,0.278575039,0.229494884,0.3,0,nan,1.32958465,4.00026335,240,confidence_only
current__seed1,current,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,14.0286561,0.0269239191,14.0286819,0.260778528,0.217129563,0.3,0,nan,1.19371771,3.7892422,240,confidence_only
current__seed2,current,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,24.6690443,0.0259749765,24.6690579,0.268854823,0.228702062,0.3,0,nan,1.25665535,3.56984187,240,confidence_only
current__seed0,current,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),26.2519954,0.0304070024,26.2520131,0.278575039,0.229494884,0.3,0,nan,1.32958465,4.00026335,240,confidence_only
current__seed1,current,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),14.0286561,0.0269239191,14.0286819,0.260778528,0.217129563,0.3,0,nan,1.19371771,3.7892422,240,confidence_only
current__seed2,current,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),24.6690443,0.0259749765,24.6690579,0.268854823,0.228702062,0.3,0,nan,1.25665535,3.56984187,240,confidence_only
current__seed0,current,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),26.3781828,0.0251092407,26.3781948,0.278575039,0.229494884,0.3,0,nan,1.02070601,3.0784083,240,confidence_only
current__seed1,current,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),14.1277605,0.0234069587,14.1277799,0.260778528,0.217129563,0.3,0,nan,0.935330051,2.74942744,240,confidence_only
current__seed2,current,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),24.9560276,0.0235700667,24.9560388,0.268854823,0.228702062,0.3,0,nan,1.04031746,2.84873174,240,confidence_only
combined__seed0,combined,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,27.0351226,0.0107980131,27.0351248,nan,nan,0,1,0,nan,nan,0,disabled
