scenario,controller,variant,metric,value
s_turn_short_wave,mpc_preview_speed,xy_v4_short_realtime,yaw_rmse_deg,67.68111824977392
s_turn_short_wave,mpc_preview_speed,xy_v4_short_realtime,yaw_p95_deg,116.81217781071189
s_turn_short_wave,mpc_preview_speed,xy_v4_short_realtime,progress_pct,65.89147286821705
s_turn_short_wave,mpc_preview_speed,xy_v4_short_realtime,mean_speed_mps,0.9975546707093634
s_turn_short_wave,mpc_preview_speed,xy_v4_short_realtime,cmd_smoothness_deg2,1142.7430282153564
s_turn_short_wave,mpc_preview_speed,xy_v4_short_realtime,solve_success_rate,1.0
s_turn_short_wave,mpc_preview_speed,xy_v4_short_realtime,mean_solve_ms,11.245299549963143
s_turn_short_wave,mpc_preview_speed,xy_v4_short_realtime,max_solve_ms,23.892041001090547
s_turn_short_wave,mpc_preview_speed,xy_v5_yaw_strict,lateral_rmse_m,1.733579774602269
s_turn_short_wave,mpc_preview_speed,xy_v5_yaw_strict,lateral_p95_m,3.32931493197669
s_turn_short_wave,mpc_preview_speed,xy_v5_yaw_strict,lateral_max_m,3.760396792425791
s_turn_short_wave,mpc_preview_speed,xy_v5_yaw_strict,yaw_rmse_deg,66.9473365419927
s_turn_short_wave,mpc_preview_speed,xy_v5_yaw_strict,yaw_p95_deg,113.9645362755337
s_turn_short_wave,mpc_preview_speed,xy_v5_yaw_strict,progress_pct,56.07235142118863
s_turn_short_wave,mpc_preview_speed,xy_v5_yaw_strict,mean_speed_mps,0.9121292503447944
s_turn_short_wave,mpc_preview_speed,xy_v5_yaw_strict,cmd_smoothness_deg2,1042.0935984109472
s_turn_short_wave,mpc_preview_speed,xy_v5_yaw_strict,solve_success_rate,1.0
s_turn_short_wave,mpc_preview_speed,xy_v5_yaw_strict,mean_solve_ms,12.36461584771662
s_turn_short_wave,mpc_preview_speed,xy_v5_yaw_strict,max_solve_ms,26.88216599926818
chicane_90deg,pid_yaw_only_fixed_speed,baseline,lateral_rmse_m,3.596121673005052
chicane_90deg,pid_yaw_only_fixed_speed,baseline,lateral_p95_m,5.961936425129084
chicane_90deg,pid_yaw_only_fixed_speed,baseline,lateral_max_m,6.1403327333277264
chicane_90deg,pid_yaw_only_fixed_speed,baseline,yaw_rmse_deg,44.605117876229336
chicane_90deg,pid_yaw_only_fixed_speed,baseline,yaw_p95_deg,84.05999999999956
chicane_90deg,pid_yaw_only_fixed_speed,baseline,progress_pct,92.84603421461897
chicane_90deg,pid_yaw_only_fixed_speed,baseline,mean_speed_mps,1.3
chicane_90deg,pid_yaw_only_fixed_speed,baseline,cmd_smoothness_deg2,3762.5384478577034
chicane_90deg,pid_yaw_only_fixed_speed,baseline,solve_success_rate,1.0
chicane_90deg,pid_yaw_only_fixed_speed,baseline,mean_solve_ms,0.0
chicane_90deg,pid_yaw_only_fixed_speed,baseline,max_solve_ms,0.0
chicane_90deg,pid_los_fixed_speed,strong_baseline,lateral_rmse_m,0.6586472390569447
chicane_90deg,pid_los_fixed_speed,strong_baseline,lateral_p95_m,1.4241356330136878
chicane_90deg,pid_los_fixed_speed,strong_baseline,lateral_max_m,1.7167292982810778
chicane_90deg,pid_los_fixed_speed,strong_baseline,yaw_rmse_deg,23.15029814319139
chicane_90deg,pid_los_fixed_speed,strong_baseline,yaw_p95_deg,42.57175321691464
chicane_90deg,pid_los_fixed_speed,strong_baseline,progress_pct,87.55832037325038
chicane_90deg,pid_los_fixed_speed,strong_baseline,mean_speed_mps,1.3
chicane_90deg,pid_los_fixed_speed,strong_baseline,cmd_smoothness_deg2,3430.920319685843
chicane_90deg,pid_los_fixed_speed,strong_baseline,solve_success_rate,1.0
chicane_90deg,pid_los_fixed_speed,strong_baseline,mean_solve_ms,0.0
chicane_90deg,pid_los_fixed_speed,strong_baseline,max_solve_ms,0.0
chicane_90deg,mpc_preview_speed,xy_v1_balanced,lateral_rmse_m,1.4516002068961678
chicane_90deg,mpc_preview_speed,xy_v1_balanced,lateral_p95_m,3.212499962722787
chicane_90deg,mpc_preview_speed,xy_v1_balanced,lateral_max_m,3.464370407435829
chicane_90deg,mpc_preview_speed,xy_v1_balanced,yaw_rmse_deg,30.353013745426498
chicane_90deg,mpc_preview_speed,xy_v1_balanced,yaw_p95_deg,65.58906233048324
chicane_90deg,mpc_preview_speed,xy_v1_balanced,progress_pct,62.83048211508554
chicane_90deg,mpc_preview_speed,xy_v1_balanced,mean_speed_mps,1.1675295448308705
chicane_90deg,mpc_preview_speed,xy_v1_balanced,cmd_smoothness_deg2,3729.7165155639395
chicane_90deg,mpc_preview_speed,xy_v1_balanced,solve_success_rate,1.0
chicane_90deg,mpc_preview_speed,xy_v1_balanced,mean_solve_ms,9.904150012981619
chicane_90deg,mpc_preview_speed,xy_v1_balanced,max_solve_ms,21.349292001104914
chicane_90deg,mpc_preview_speed,xy_v2_track_hard,lateral_rmse_m,1.7748033880055987
chicane_90deg,mpc_preview_speed,xy_v2_track_hard,lateral_p95_m,3.856264553296909
chicane_90deg,mpc_preview_speed,xy_v2_track_hard,lateral_max_m,4.141712478324562
chicane_90deg,mpc_preview_speed,xy_v2_track_hard,yaw_rmse_deg,32.70313607963629
