scenario,controller,variant,seed,lateral_rmse_m,lateral_p95_m,yaw_rmse_deg,solve_success_rate,current_x_mps,current_y_mps,lateral_offset_m,yaw_noise_std_deg
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,3,1.7091719051629632,2.9813607504645936,70.20713020383188,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,4,2.654317556247723,4.810136062877947,58.019713595161,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
s_turn_short_wave,pid_los_fixed_speed,baseline,4,1.6608214847365128,3.0604823568456223,66.09024993687608,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,4,1.7981503505600638,3.3571123432483043,59.09016236046492,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
chicane_90deg,pid_yaw_only_fixed_speed,baseline,0,3.6319289111472473,6.562728544971812,48.50868884329981,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
chicane_90deg,pid_los_fixed_speed,baseline,0,0.8381660098252116,1.551319325026674,23.769516750717244,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
chicane_90deg,mpc_preview_speed,xy_v1_balanced,0,1.8661522668411243,3.9775619973935252,33.33790698433464,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
chicane_90deg,pid_yaw_only_fixed_speed,baseline,1,3.8838329039034982,7.6414959140804175,46.724380191397145,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
chicane_90deg,pid_los_fixed_speed,baseline,1,1.9176272753947834,3.322986066857164,28.08402373457409,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
chicane_90deg,mpc_preview_speed,xy_v1_balanced,1,2.228774597012081,4.393345072035702,32.79207771327637,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
chicane_90deg,pid_yaw_only_fixed_speed,baseline,2,3.7506726974058218,6.269130400925259,42.157726888915974,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
chicane_90deg,pid_los_fixed_speed,baseline,2,0.7431906209431267,1.4652259726604888,24.035226232537454,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
chicane_90deg,mpc_preview_speed,xy_v1_balanced,2,1.3018606880777626,2.57848754295187,28.326510679744352,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
chicane_90deg,pid_yaw_only_fixed_speed,baseline,3,3.0141577381207245,5.355367465977842,36.13275834367972,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
chicane_90deg,pid_los_fixed_speed,baseline,3,0.7994349410784091,1.6234042177067334,23.701077213403646,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
chicane_90deg,mpc_preview_speed,xy_v1_balanced,3,1.156261739197456,2.6496277939502284,26.417519187146624,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
chicane_90deg,pid_yaw_only_fixed_speed,baseline,4,2.862753984065492,5.35732163126823,36.13391027601999,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
chicane_90deg,pid_los_fixed_speed,baseline,4,0.7169947023176423,1.498906538299739,22.448108107362643,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
chicane_90deg,mpc_preview_speed,xy_v1_balanced,4,1.2824266237536377,3.1218161806535094,27.919067176396172,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,0,4.807555999641173,13.18880870145472,1.4806234061268178,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
hairpin_180deg,pid_los_fixed_speed,baseline,0,4.1487082267124675,10.144130595772381,63.35257607837512,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,0,2.2019478664210825,4.833316127934595,68.14613362053433,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,1,3.616590876278456,6.413240184068445,3.4422845750426125,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
hairpin_180deg,pid_los_fixed_speed,baseline,1,3.6151040471282236,10.110334702645053,49.78495248481096,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,1,2.642304507012699,5.172199930910104,55.43581344648848,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,2,3.074608046110797,8.734839149591647,0.766393925771204,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
hairpin_180deg,pid_los_fixed_speed,baseline,2,4.1060362695815,9.792504016790632,65.1232088612506,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,2,2.1269874655903,6.0077965990617255,4.542946088474336,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,3,4.590375388852848,13.110216017393917,2.2150381972361872,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
hairpin_180deg,pid_los_fixed_speed,baseline,3,4.819392715902556,11.296644893733788,65.93923971945556,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,3,2.583917914708596,6.247159673913247,69.88675781921619,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,4,6.401743352289898,17.227687219027302,6.0906833738636585,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
hairpin_180deg,pid_los_fixed_speed,baseline,4,4.541715480137473,10.560077575975797,65.44029989197547,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,4,2.261736671931264,5.2899287822907715,71.03941842591911,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
